x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-14.08	36.38	0.24	0.06	44.99	0.06	0.44	0.15	0.07	0.97	0.06
-16.048	46.23	0.33	0.07	44.93	0.06	0.62	0.16	0.1	0.74	0.08
-16.048	48.2	0.32	0.06	44.98	0.05	0.51	0.13	0.08	0.9	0.07
-18.017	46.23	0.3	0.05	44.96	0.1	0.73	0.22	0.07	0.84	0.06
-12.111	42.29	0.28	0.05	44.75	0.08	0.88	0.21	0.08	1.0	0.08
-16.048	28.5	0.25	0.05	45.03	0.05	0.52	0.13	0.06	1.7	0.08
-18.017	48.2	0.24	0.05	44.97	0.06	0.46	0.14	0.06	1.21	0.06
-16.048	50.17	0.21	0.05	44.99	0.05	0.44	0.13	0.06	1.88	0.08
-14.08	50.17	0.2	0.04	45.03	0.04	0.41	0.1	0.05	1.83	0.06
