x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-4.237	32.44	1.4	0.06	46.58	0.01	0.41	0.02	0.07	1.14	0.07
-4.237	30.47	1.29	0.05	46.61	0.01	0.45	0.02	0.07	1.07	0.07
-8.174	38.35	1.2	0.06	46.67	0.02	0.75	0.05	0.07	0.95	0.07
-8.174	36.38	1.17	0.05	46.69	0.02	0.72	0.04	0.08	1.08	0.08
-10.143	38.35	1.1	0.06	46.71	0.02	0.78	0.05	0.08	0.97	0.07
-12.111	38.35	1.17	0.05	46.79	0.03	0.65	0.06	0.08	0.63	0.05
-12.111	40.32	1.09	0.09	46.74	0.05	0.6	0.08	0.08	0.81	0.06
-14.08	42.29	0.9	0.06	46.7	0.01	0.42	0.04	0.07	2.17	0.1
-16.048	46.23	1.17	0.08	46.62	0.02	0.48	0.04	0.1	0.74	0.08
-14.08	44.26	0.99	0.09	46.66	0.02	0.38	0.05	0.1	1.03	0.09
-16.048	48.2	0.95	0.06	46.58	0.02	0.48	0.05	0.08	0.9	0.07
-18.017	46.23	0.91	0.06	46.65	0.02	0.48	0.04	0.07	0.84	0.06
-12.111	36.38	0.89	0.05	46.83	0.03	0.69	0.06	0.08	0.85	0.07
-14.08	46.23	0.89	0.11	46.62	0.02	0.38	0.06	0.11	0.79	0.09
-16.048	44.26	0.88	0.08	46.69	0.02	0.4	0.05	0.08	1.23	0.09
-14.08	40.32	0.83	0.06	46.75	0.01	0.45	0.04	0.07	1.88	0.09
-18.017	48.2	0.8	0.05	46.63	0.02	0.43	0.04	0.06	1.21	0.06
-14.08	38.35	0.78	0.06	46.81	0.01	0.45	0.04	0.06	1.26	0.06
-14.08	36.38	0.75	0.05	46.85	0.03	0.59	0.06	0.07	0.97	0.06
-16.048	42.29	0.72	0.08	46.74	0.02	0.4	0.05	0.09	1.26	0.09
-18.017	44.26	0.75	0.07	46.73	0.03	0.54	0.06	0.07	0.99	0.07
-10.143	34.41	0.63	0.07	46.83	0.03	0.73	0.09	0.07	1.82	0.09
-19.986	46.23	0.62	0.06	46.68	0.02	0.46	0.06	0.07	0.73	0.06
-16.048	40.32	0.61	0.08	46.77	0.02	0.37	0.06	0.08	1.02	0.08
-18.017	42.29	0.6	0.08	46.79	0.04	0.62	0.1	0.12	0.81	0.1
-19.986	48.2	0.6	0.05	46.65	0.02	0.39	0.04	0.06	1.63	0.07
-12.111	34.41	0.58	0.05	46.85	0.03	0.76	0.09	0.07	1.4	0.08
-10.143	32.44	0.55	0.04	46.87	0.02	0.71	0.06	0.04	3.4	0.08
-16.048	38.35	0.52	0.06	46.81	0.02	0.34	0.05	0.06	1.22	0.06
-16.048	36.38	0.49	0.07	46.85	0.03	0.44	0.08	0.08	1.0	0.07
-19.986	44.26	0.48	0.06	46.72	0.04	0.6	0.1	0.08	0.88	0.07
-18.017	40.32	0.45	0.11	46.83	0.04	0.34	0.11	0.12	0.89	0.11
-19.986	42.29	0.53	0.09	46.87	0.05	0.39	0.12	0.11	0.82	0.09
-10.143	30.47	0.41	0.04	46.84	0.02	0.64	0.06	0.04	4.51	0.08
-18.017	38.35	0.37	0.09	46.83	0.04	0.33	0.1	0.09	0.84	0.08
-12.111	28.5	0.24	0.05	46.8	0.06	0.43	0.14	0.06	2.02	0.08
-14.08	30.47	0.3	0.05	46.91	0.03	0.34	0.07	0.05	2.07	0.07
-6.206	24.56	1.1	0.03	46.76	0.01	0.6	0.03	0.05	1.87	0.06
-6.206	26.53	1.02	0.03	46.7	0.01	0.61	0.03	0.05	2.1	0.06
-8.174	24.56	0.9	0.1	46.75	0.04	0.52	0.07	0.07	0.99	0.07
-8.174	26.53	0.72	0.05	46.68	0.04	0.57	0.08	0.07	1.08	0.07
