x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-19.986	73.81	1.88	0.04	45.77	0.01	0.6	0.02	0.06	2.81	0.1
-19.986	71.84	1.8	0.04	45.88	0.01	0.77	0.02	0.07	2.11	0.1
-18.017	73.81	1.8	0.04	45.83	0.01	0.64	0.02	0.06	2.5	0.09
-18.017	71.84	1.05	0.28	45.78	0.02	0.41	0.08	0.08	1.07	0.08
-14.08	71.84	0.84	0.2	45.9	0.07	0.55	0.11	0.09	0.85	0.08
-12.111	71.84	0.53	0.07	45.88	0.05	0.5	0.1	0.07	0.94	0.06
5.606	65.93	0.58	0.06	45.52	0.1	0.72	0.16	0.07	1.42	0.07
-0.3	61.99	0.35	0.04	45.63	0.08	1.14	0.11	0.05	1.5	0.06
-4.237	67.9	0.29	0.06	45.76	0.07	0.45	0.17	0.07	1.28	0.08
