x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-14.08	-70.0	1.68	0.09	45.4	0.04	1.02	0.1	0.17	0.68	0.12
-14.08	-68.03	1.54	0.08	45.34	0.04	0.93	0.1	0.14	0.71	0.12
-16.048	-68.03	1.41	0.06	45.34	0.04	1.22	0.1	0.13	1.31	0.14
-16.048	-70.0	1.57	0.07	45.46	0.03	1.38	0.07	0.16	1.39	0.18
-14.08	-66.06	1.36	0.05	45.33	0.04	0.86	0.07	0.08	1.77	0.1
-16.048	-66.06	1.35	0.05	45.36	0.05	1.03	0.1	0.1	1.64	0.12
-16.048	-64.09	1.25	0.05	45.48	0.02	1.03	0.05	0.1	1.46	0.11
-18.017	-70.0	1.16	0.07	45.39	0.05	1.61	0.12	0.17	1.66	0.21
-12.111	-70.0	1.15	0.25	45.33	0.19	0.9	0.26	0.16	0.83	0.14
-14.08	-64.09	1.14	0.08	45.37	0.08	0.84	0.12	0.08	1.62	0.1
-18.017	-66.06	1.03	0.05	45.36	0.03	1.38	0.08	0.11	2.04	0.15
-18.017	-64.09	1.01	0.05	45.4	0.03	1.09	0.07	0.11	1.46	0.12
-16.048	-62.12	0.95	0.06	45.44	0.03	1.06	0.08	0.12	0.94	0.11
-18.017	-62.12	0.78	0.05	45.3	0.04	1.19	0.09	0.11	1.12	0.11
-19.986	-70.0	0.73	0.06	45.46	0.08	1.81	0.19	0.16	1.03	0.16
-19.986	-66.06	0.7	0.07	45.37	0.07	1.55	0.17	0.16	1.48	0.18
-12.111	-62.12	0.69	0.16	45.29	0.19	0.89	0.25	0.08	1.07	0.08
-19.986	-64.09	0.68	0.06	45.36	0.05	1.23	0.13	0.13	1.31	0.13
-14.08	-60.15	0.63	0.04	45.55	0.04	1.23	0.09	0.09	1.0	0.09
-12.111	-60.15	0.67	0.03	45.63	0.03	1.25	0.07	0.07	1.18	0.07
-16.048	-60.15	0.6	0.05	45.37	0.05	1.24	0.14	0.11	0.94	0.1
-18.017	-60.15	0.58	0.06	45.19	0.08	1.33	0.21	0.12	1.06	0.12
-19.986	-62.12	0.54	0.05	45.17	0.06	1.44	0.14	0.11	1.5	0.12
-10.143	-58.18	0.49	0.04	45.71	0.05	1.22	0.11	0.08	1.23	0.09
-12.111	-58.18	0.49	0.04	45.68	0.04	1.04	0.1	0.08	1.01	0.08
-19.986	-60.15	0.48	0.06	45.12	0.14	1.44	0.32	0.13	1.41	0.15
-18.017	-58.18	0.41	0.06	45.24	0.14	1.45	0.36	0.12	1.09	0.12
-12.111	-56.21	0.38	0.05	45.79	0.05	0.88	0.13	0.09	1.0	0.08
-10.143	-60.15	0.54	0.05	45.31	0.08	0.75	0.14	0.06	1.55	0.07
-8.174	-60.15	0.4	0.04	45.29	0.1	0.84	0.19	0.06	1.59	0.07
