x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-4.237	24.56	0.38	0.05	45.92	0.02	0.32	0.06	0.05	2.03	0.06
-14.08	22.59	0.73	0.03	46.3	0.02	0.76	0.06	0.05	2.51	0.06
-16.048	22.59	0.68	0.03	46.22	0.02	0.66	0.05	0.05	2.32	0.07
-16.048	24.56	0.58	0.04	46.21	0.02	0.8	0.06	0.06	1.7	0.07
-14.08	26.53	0.55	0.05	46.19	0.04	0.76	0.09	0.08	0.85	0.07
-18.017	30.47	0.67	0.04	45.95	0.02	0.9	0.06	0.06	1.92	0.08
-16.048	28.5	0.65	0.04	46.06	0.02	0.72	0.06	0.06	1.7	0.08
-18.017	32.44	0.65	0.04	45.86	0.03	1.0	0.08	0.08	1.35	0.09
-16.048	32.44	0.64	0.04	45.88	0.04	1.24	0.09	0.08	1.25	0.09
-16.048	34.41	0.61	0.05	45.86	0.05	1.01	0.12	0.08	1.15	0.08
-18.017	28.5	0.58	0.03	46.03	0.02	0.83	0.05	0.04	4.43	0.09
-16.048	26.53	0.56	0.04	46.11	0.03	0.72	0.07	0.07	1.48	0.08
-14.08	30.47	0.55	0.03	46.03	0.02	0.8	0.07	0.05	2.07	0.07
-14.08	32.44	0.55	0.04	45.92	0.04	0.95	0.12	0.06	1.65	0.08
-18.017	34.41	0.54	0.05	45.91	0.05	1.11	0.12	0.1	0.94	0.09
-16.048	36.38	0.53	0.04	45.89	0.06	1.13	0.15	0.08	1.0	0.07
-14.08	36.38	0.51	0.05	45.89	0.05	0.88	0.18	0.07	0.97	0.06
-18.017	26.53	0.47	0.03	46.04	0.02	0.83	0.06	0.04	5.26	0.09
-14.08	34.41	0.46	0.03	45.84	0.08	1.48	0.19	0.08	1.28	0.08
-12.111	32.44	0.45	0.03	45.94	0.03	0.65	0.09	0.05	2.44	0.07
-12.111	34.41	0.5	0.05	45.91	0.04	0.51	0.1	0.07	1.4	0.08
-12.111	36.38	0.45	0.06	45.96	0.05	0.55	0.14	0.08	0.85	0.07
-12.111	38.35	0.47	0.07	46.08	0.06	0.57	0.17	0.08	0.63	0.05
-19.986	32.44	0.45	0.05	45.87	0.05	0.97	0.13	0.09	1.23	0.1
-19.986	30.47	0.43	0.05	45.92	0.05	0.95	0.12	0.09	1.32	0.1
-12.111	28.5	0.4	0.04	46.1	0.04	0.63	0.13	0.06	2.02	0.08
-19.986	34.41	0.39	0.05	45.85	0.07	1.24	0.17	0.09	1.1	0.1
-12.111	30.47	0.38	0.03	46.03	0.03	0.73	0.09	0.04	3.34	0.07
-10.143	28.5	0.32	0.05	46.04	0.1	0.68	0.32	0.07	1.9	0.09
-8.174	24.56	0.38	0.06	46.01	0.12	0.77	0.49	0.07	0.99	0.07
-8.174	26.53	0.38	0.1	45.93	0.09	0.59	0.27	0.07	1.08	0.07
-16.048	46.23	0.63	0.08	45.86	0.03	0.5	0.09	0.1	0.74	0.08
-16.048	48.2	0.62	0.06	45.88	0.03	0.54	0.09	0.08	0.9	0.07
-14.08	48.2	0.58	0.07	45.87	0.04	0.46	0.09	0.09	1.03	0.08
-14.08	20.62	0.51	0.03	46.24	0.03	1.08	0.08	0.05	1.88	0.07
-18.017	46.23	0.49	0.05	45.79	0.05	0.61	0.13	0.07	0.84	0.06
3.637	28.5	1.27	0.04	45.86	0.03	1.48	0.05	0.05	1.73	0.06
-12.111	71.84	1.11	0.05	46.52	0.03	0.67	0.06	0.07	0.94	0.06
