x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
15.449	16.68	1.14	0.05	45.08	0.04	0.82	0.08	0.08	1.3	0.08
-2.268	12.74	1.53	0.04	45.04	0.01	0.78	0.02	0.06	2.65	0.09
1.669	8.8	1.99	0.04	45.03	0.01	0.8	0.02	0.06	2.27	0.09
3.637	8.8	1.89	0.09	45.01	0.02	0.69	0.04	0.07	1.39	0.08
1.669	10.77	1.88	0.03	45.0	0.01	0.83	0.02	0.05	2.3	0.08
-0.3	12.74	1.91	0.03	45.03	0.01	0.79	0.02	0.06	1.39	0.06
1.669	14.71	1.86	0.1	45.02	0.03	0.71	0.05	0.08	0.61	0.06
3.637	10.77	1.75	0.04	44.95	0.01	0.68	0.03	0.06	1.32	0.06
-0.3	10.77	1.73	0.03	44.98	0.01	0.78	0.01	0.05	1.43	0.05
1.669	12.74	1.61	0.42	44.94	0.04	0.7	0.06	0.06	0.64	0.04
-0.3	8.8	1.57	0.03	44.99	0.01	0.74	0.02	0.05	1.31	0.06
-0.3	22.59	2.81	0.12	45.23	0.0	0.58	0.02	0.04	1.3	0.05
-0.3	20.62	2.72	0.25	45.2	0.01	0.56	0.03	0.06	0.76	0.05
-0.3	24.56	2.64	0.07	45.26	0.0	0.6	0.02	0.06	1.58	0.07
1.669	20.62	2.48	0.11	45.19	0.01	0.57	0.02	0.05	1.71	0.06
-2.268	22.59	2.24	0.03	45.23	0.0	0.64	0.01	0.05	2.3	0.06
-2.268	24.56	2.21	0.04	45.27	0.0	0.66	0.01	0.05	2.14	0.07
1.669	22.59	2.17	0.09	45.18	0.0	0.52	0.02	0.05	4.4	0.09
1.669	24.56	2.12	0.12	45.22	0.01	0.58	0.03	0.06	1.97	0.08
-2.268	20.62	2.12	0.05	45.2	0.01	0.62	0.02	0.08	0.97	0.07
-2.268	18.65	2.0	0.05	45.17	0.01	0.61	0.02	0.07	1.5	0.08
1.669	26.53	1.98	0.08	45.31	0.01	0.7	0.03	0.06	1.3	0.07
-0.3	26.53	2.02	0.11	45.33	0.01	0.65	0.04	0.07	1.01	0.07
-2.268	26.53	1.93	0.05	45.33	0.01	0.7	0.02	0.08	1.0	0.07
-2.268	16.68	1.84	0.04	45.14	0.01	0.65	0.02	0.06	2.89	0.1
-0.3	14.71	2.17	0.04	45.09	0.01	0.77	0.02	0.07	1.38	0.08
1.669	16.68	2.07	0.09	45.11	0.03	0.68	0.04	0.06	0.74	0.05
1.669	18.65	1.75	0.17	45.13	0.01	0.53	0.03	0.05	0.99	0.05
-2.268	14.71	1.7	0.04	45.09	0.01	0.73	0.02	0.06	2.83	0.1
-2.268	28.5	1.59	0.05	45.35	0.01	0.65	0.02	0.08	0.84	0.07
3.637	20.62	1.54	0.07	45.14	0.01	0.62	0.02	0.04	3.85	0.08
3.637	22.59	1.92	0.04	45.13	0.01	0.63	0.01	0.04	6.84	0.09
5.606	24.56	1.82	0.03	45.06	0.01	0.79	0.02	0.05	2.05	0.06
5.606	22.59	1.7	0.02	45.09	0.01	0.85	0.02	0.03	4.49	0.06
5.606	26.53	1.66	0.03	45.11	0.01	0.76	0.02	0.05	1.32	0.05
7.575	24.56	1.68	0.03	45.0	0.01	0.81	0.02	0.05	1.43	0.05
7.575	22.59	1.59	0.02	45.08	0.01	0.96	0.02	0.04	2.25	0.05
5.606	20.62	1.46	0.04	45.23	0.03	0.92	0.05	0.05	1.53	0.06
3.637	12.74	1.44	0.04	44.9	0.01	0.62	0.03	0.05	0.95	0.05
7.575	20.62	1.41	0.03	45.23	0.02	1.03	0.05	0.06	1.06	0.06
5.606	10.77	1.37	0.05	44.9	0.01	0.62	0.03	0.07	1.51	0.08
5.606	28.5	1.36	0.03	45.2	0.01	0.75	0.03	0.05	1.35	0.06
-4.237	24.56	1.35	0.03	45.24	0.01	0.7	0.03	0.05	2.03	0.06
-4.237	26.53	1.33	0.05	45.3	0.02	0.68	0.05	0.07	1.23	0.07
3.637	24.56	1.32	0.06	45.1	0.01	0.48	0.03	0.05	3.54	0.09
9.543	22.59	1.31	0.02	45.15	0.02	1.15	0.04	0.05	1.25	0.05
9.543	20.62	1.28	0.03	45.3	0.02	1.23	0.05	0.06	1.05	0.06
-2.268	30.47	1.28	0.05	45.38	0.01	0.59	0.03	0.07	0.77	0.06
11.512	18.65	1.27	0.05	45.35	0.05	1.18	0.08	0.09	0.94	0.08
-2.268	10.77	1.26	0.02	44.98	0.01	0.8	0.02	0.04	3.01	0.07
-4.237	22.59	1.25	0.04	45.18	0.01	0.75	0.03	0.07	1.37	0.07
5.606	12.74	1.24	0.04	44.87	0.01	0.58	0.03	0.06	1.29	0.07
5.606	8.8	1.23	0.08	44.94	0.03	0.67	0.05	0.07	1.38	0.08
11.512	20.62	1.22	0.04	45.26	0.05	1.1	0.09	0.07	0.71	0.06
13.48	18.65	1.25	0.05	45.19	0.06	0.95	0.1	0.09	0.97	0.08
3.637	14.71	1.21	0.07	44.9	0.02	0.57	0.04	0.07	0.66	0.05
-4.237	20.62	1.19	0.06	45.15	0.02	0.69	0.04	0.1	0.83	0.08
17.417	10.77	1.59	0.11	45.14	0.03	0.42	0.06	0.14	0.92	0.12
17.417	12.74	1.57	0.07	45.15	0.02	0.53	0.05	0.1	1.38	0.11
19.386	10.77	1.52	0.15	45.16	0.05	0.45	0.09	0.15	1.12	0.15
19.386	8.8	1.47	0.13	45.16	0.03	0.43	0.07	0.16	1.09	0.15
19.386	12.74	1.46	0.08	45.19	0.04	0.57	0.08	0.11	1.51	0.13
17.417	8.8	1.33	0.16	45.13	0.03	0.36	0.06	0.13	0.91	0.11
15.449	12.74	1.33	0.07	45.1	0.02	0.64	0.06	0.1	0.97	0.09
19.386	14.71	1.31	0.09	45.22	0.06	0.69	0.11	0.09	1.41	0.1
17.417	14.71	1.3	0.05	45.12	0.03	0.63	0.05	0.07	1.7	0.09
19.386	6.83	1.27	0.09	45.16	0.03	0.47	0.06	0.12	1.56	0.14
15.449	10.77	1.21	0.07	45.14	0.03	0.63	0.07	0.1	0.93	0.09
15.449	14.71	1.21	0.06	45.06	0.03	0.65	0.06	0.08	1.19	0.09
17.417	16.68	1.16	0.05	45.12	0.04	0.77	0.08	0.07	1.28	0.07
15.449	20.62	1.38	0.05	45.08	0.02	0.7	0.05	0.08	0.95	0.07
17.417	20.62	1.32	0.07	45.13	0.02	0.69	0.06	0.11	0.91	0.1
15.449	22.59	1.32	0.05	45.08	0.02	0.71	0.05	0.08	1.07	0.08
15.449	18.65	1.29	0.04	45.1	0.02	0.78	0.05	0.07	1.26	0.07
17.417	18.65	1.28	0.05	45.13	0.03	0.76	0.06	0.08	0.98	0.08
13.48	20.62	1.28	0.05	45.11	0.03	0.81	0.07	0.08	0.81	0.07
13.48	22.59	1.26	0.04	45.05	0.02	0.77	0.05	0.06	0.93	0.06
15.449	24.56	1.17	0.04	45.13	0.04	0.84	0.08	0.06	1.82	0.07
7.575	12.74	1.14	0.06	44.83	0.01	0.58	0.04	0.08	1.26	0.09
17.417	6.83	1.13	0.13	45.13	0.03	0.41	0.06	0.11	1.03	0.1
13.48	24.56	1.11	0.03	45.02	0.02	0.8	0.05	0.05	1.67	0.06
-4.237	28.5	1.11	0.04	45.34	0.01	0.7	0.03	0.07	0.99	0.06
13.48	16.68	1.1	0.08	45.18	0.1	1.09	0.16	0.09	1.25	0.09
11.512	22.59	1.1	0.04	45.0	0.04	0.83	0.06	0.05	1.14	0.05
3.637	26.53	1.09	0.07	45.16	0.01	0.55	0.04	0.05	2.04	0.07
11.512	16.68	1.08	0.06	45.26	0.08	1.28	0.12	0.07	1.67	0.09
-2.268	32.44	1.08	0.05	45.4	0.01	0.59	0.03	0.08	0.66	0.06
-2.268	36.38	1.24	0.03	45.47	0.01	0.6	0.02	0.05	2.25	0.06
-2.268	34.41	1.09	0.05	45.43	0.01	0.6	0.03	0.07	0.87	0.06
-0.3	28.5	1.72	0.09	45.47	0.04	0.57	0.07	0.07	0.98	0.06
1.669	28.5	1.64	0.04	45.44	0.02	0.81	0.03	0.05	1.37	0.06
-0.3	30.47	1.42	0.03	45.46	0.01	0.69	0.02	0.05	1.07	0.05
-4.237	18.65	1.07	0.06	45.14	0.02	0.68	0.04	0.09	1.11	0.09
13.48	14.71	1.04	0.06	45.02	0.05	0.83	0.1	0.1	1.13	0.1
11.512	24.56	1.04	0.03	44.95	0.02	0.79	0.04	0.04	2.59	0.07
5.606	30.47	1.04	0.06	45.24	0.03	0.62	0.05	0.06	1.84	0.08
9.543	26.53	1.03	0.05	44.95	0.03	0.69	0.06	0.07	1.85	0.09
13.48	12.74	1.02	0.05	44.99	0.03	0.79	0.08	0.09	1.05	0.09
7.575	32.44	1.0	0.11	45.35	0.08	0.71	0.11	0.07	1.08	0.07
15.449	8.8	0.98	0.07	45.12	0.04	0.51	0.08	0.09	1.2	0.09
5.606	14.71	0.97	0.05	44.87	0.02	0.57	0.04	0.07	0.84	0.06
-2.268	8.8	0.96	0.02	44.98	0.01	0.8	0.02	0.03	60.04	0.24
3.637	16.68	0.95	0.08	44.96	0.02	0.54	0.05	0.06	0.76	0.05
-2.268	38.35	0.94	0.05	45.5	0.01	0.47	0.03	0.04	3.6	0.08
11.512	14.71	0.93	0.04	44.99	0.05	1.02	0.1	0.08	1.42	0.09
-4.237	16.68	0.93	0.04	45.1	0.02	0.75	0.04	0.07	2.22	0.09
-4.237	14.71	0.92	0.04	45.05	0.01	0.83	0.04	0.06	3.38	0.1
-4.237	12.74	0.91	0.04	45.02	0.02	0.85	0.04	0.07	2.35	0.1
-4.237	38.35	0.89	0.03	45.45	0.02	0.73	0.04	0.04	2.55	0.06
9.543	14.71	0.88	0.04	44.92	0.03	1.0	0.07	0.07	1.75	0.09
11.512	12.74	1.0	0.05	44.85	0.03	0.73	0.06	0.08	1.29	0.09
7.575	14.71	0.88	0.05	44.86	0.02	0.74	0.06	0.08	1.36	0.09
-4.237	30.47	0.87	0.04	45.35	0.02	0.66	0.04	0.07	1.07	0.07
-6.206	24.56	0.83	0.03	45.18	0.03	0.81	0.06	0.05	1.87	0.06
5.606	18.65	0.82	0.13	45.12	0.07	0.72	0.1	0.07	1.21	0.07
