x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-18.017	-58.18	0.81	0.11	44.12	0.03	0.52	0.09	0.12	1.09	0.12
-19.986	-60.15	0.68	0.15	44.21	0.03	0.4	0.1	0.13	1.41	0.15
-16.048	-56.21	0.58	0.05	44.06	0.02	0.54	0.06	0.07	1.42	0.08
-18.017	-60.15	0.54	0.11	44.12	0.04	0.43	0.11	0.12	1.06	0.12
-18.017	-54.24	0.53	0.1	43.98	0.08	0.45	0.15	0.09	1.32	0.1
-16.048	-54.24	0.45	0.07	43.98	0.04	0.37	0.09	0.08	1.12	0.08
-16.048	-60.15	0.41	0.1	44.03	0.04	0.37	0.1	0.11	0.94	0.1
-14.08	-56.21	0.34	0.07	43.97	0.03	0.31	0.07	0.07	1.24	0.08
-14.08	-58.18	0.32	0.07	43.98	0.04	0.32	0.08	0.08	0.96	0.07
-16.048	-52.27	0.25	0.07	43.97	0.07	0.34	0.15	0.08	0.99	0.07
-14.08	-54.24	0.24	0.07	43.98	0.04	0.3	0.1	0.07	1.5	0.08
-8.174	-46.36	0.47	0.07	43.89	0.05	0.56	0.11	0.1	1.04	0.1
-10.143	-48.33	0.67	0.1	43.75	0.04	0.49	0.08	0.13	1.14	0.13
-12.111	-48.33	0.6	0.12	43.73	0.04	0.41	0.09	0.14	0.78	0.12
-10.143	-50.3	0.49	0.07	43.72	0.03	0.42	0.07	0.09	2.13	0.13
-8.174	-48.33	0.51	0.08	43.81	0.04	0.52	0.1	0.1	0.84	0.09
-10.143	-46.36	0.49	0.08	43.79	0.05	0.64	0.12	0.12	1.32	0.13
-12.111	-46.36	0.48	0.11	43.7	0.05	0.45	0.12	0.14	0.92	0.13
-12.111	-50.3	0.41	0.09	43.74	0.04	0.4	0.1	0.1	1.12	0.1
-14.08	-48.33	0.36	0.09	43.74	0.05	0.43	0.12	0.11	1.02	0.11
-8.174	-50.3	0.34	0.08	43.73	0.04	0.39	0.1	0.09	0.95	0.08
-6.206	-46.36	0.37	0.07	44.0	0.05	0.52	0.12	0.09	1.1	0.09
-6.206	-48.33	0.31	0.07	43.95	0.07	0.58	0.16	0.1	0.8	0.08
