x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-12.111	-68.03	1.09	0.14	45.2	0.08	0.71	0.14	0.15	0.99	0.14
-4.237	-62.12	0.69	0.08	44.95	0.02	0.39	0.05	0.05	1.09	0.05
-4.237	-64.09	0.56	0.11	44.99	0.02	0.42	0.08	0.06	1.11	0.06
-4.237	-60.15	0.56	0.07	44.91	0.02	0.33	0.05	0.07	1.17	0.07
-6.206	-62.12	0.52	0.05	44.93	0.02	0.36	0.05	0.06	0.94	0.05
-6.206	-60.15	0.43	0.06	44.89	0.02	0.31	0.06	0.07	1.09	0.07
-8.174	-62.12	0.42	0.05	44.95	0.03	0.44	0.07	0.06	1.2	0.06
-10.143	-66.06	0.61	0.06	45.08	0.04	0.6	0.08	0.07	2.63	0.11
-10.143	-68.03	0.58	0.14	45.08	0.04	0.46	0.12	0.11	1.58	0.13
-10.143	-64.09	0.47	0.06	44.97	0.04	0.57	0.09	0.06	1.88	0.08
-10.143	-62.12	0.42	0.07	45.0	0.06	0.59	0.12	0.07	1.33	0.07
-2.268	-58.18	0.4	0.13	44.93	0.05	0.38	0.1	0.06	1.05	0.06
-6.206	-64.09	0.4	0.06	44.96	0.02	0.38	0.07	0.05	1.34	0.05
-8.174	-66.06	0.38	0.06	45.03	0.04	0.57	0.1	0.06	2.3	0.08
-8.174	-64.09	0.37	0.05	44.94	0.04	0.49	0.08	0.06	1.45	0.07
-6.206	-66.06	0.28	0.06	45.02	0.04	0.38	0.11	0.06	1.32	0.07
-12.111	-66.06	0.97	0.07	45.19	0.05	0.7	0.09	0.08	2.16	0.11
-2.268	-62.12	1.01	0.13	45.03	0.04	0.55	0.06	0.06	0.86	0.05
-2.268	-64.09	0.95	0.18	45.04	0.06	0.61	0.09	0.07	0.68	0.06
-12.111	-64.09	0.71	0.1	45.14	0.08	0.72	0.12	0.07	1.88	0.09
7.575	-70.0	1.34	0.11	44.99	0.07	0.69	0.11	0.1	1.07	0.09
7.575	-68.03	1.26	0.14	44.99	0.08	0.74	0.11	0.07	1.6	0.08
5.606	-68.03	1.15	0.17	44.99	0.09	0.73	0.12	0.09	1.03	0.08
-4.237	-52.27	0.31	0.05	44.82	0.07	0.56	0.14	0.06	0.7	0.05
-6.206	-42.42	0.34	0.04	45.2	0.04	0.66	0.09	0.06	1.75	0.08
-16.048	-58.18	0.3	0.06	44.95	0.13	0.68	0.33	0.09	0.99	0.09
