x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-18.017	-40.45	0.2	0.03	44.13	0.09	1.23	0.22	0.06	2.04	0.09
-4.237	-52.27	0.31	0.05	44.82	0.07	0.56	0.14	0.06	0.7	0.05
-19.986	-58.18	0.87	0.08	44.32	0.04	0.88	0.1	0.15	1.96	0.2
-19.986	-56.21	0.78	0.07	44.26	0.03	0.74	0.08	0.11	1.4	0.13
-18.017	-54.24	0.52	0.09	44.48	0.09	0.47	0.16	0.09	1.32	0.1
-18.017	-52.27	0.51	0.05	44.32	0.04	0.79	0.09	0.09	1.14	0.09
-19.986	-52.27	0.46	0.05	44.28	0.04	0.86	0.1	0.08	2.59	0.13
-18.017	-50.3	0.41	0.03	44.41	0.03	0.81	0.08	0.06	2.13	0.08
-16.048	-54.24	0.4	0.06	44.53	0.05	0.45	0.12	0.08	1.12	0.08
-18.017	-48.33	0.34	0.06	44.63	0.06	0.65	0.14	0.09	1.4	0.11
-14.08	-52.27	0.32	0.06	44.61	0.04	0.44	0.1	0.08	1.3	0.09
-16.048	-50.3	0.31	0.03	44.53	0.05	1.0	0.12	0.06	1.18	0.06
-16.048	-48.33	0.31	0.06	44.78	0.06	0.64	0.14	0.09	1.08	0.09
-8.174	-54.24	0.39	0.03	45.08	0.05	1.05	0.12	0.06	1.13	0.06
7.575	-68.03	1.26	0.14	44.99	0.08	0.74	0.11	0.07	1.6	0.08
-12.111	-68.03	1.09	0.14	45.2	0.08	0.71	0.14	0.15	0.99	0.14
-4.237	-62.12	0.69	0.08	44.95	0.02	0.39	0.05	0.05	1.09	0.05
-4.237	-64.09	0.56	0.11	44.99	0.02	0.42	0.08	0.06	1.11	0.06
-4.237	-60.15	0.56	0.07	44.91	0.02	0.33	0.05	0.07	1.17	0.07
-6.206	-62.12	0.52	0.05	44.93	0.02	0.36	0.05	0.06	0.94	0.05
-6.206	-60.15	0.43	0.06	44.89	0.02	0.31	0.06	0.07	1.09	0.07
-8.174	-62.12	0.42	0.05	44.95	0.03	0.44	0.07	0.06	1.2	0.06
-10.143	-66.06	0.61	0.06	45.08	0.04	0.6	0.08	0.07	2.63	0.11
-10.143	-68.03	0.58	0.14	45.08	0.04	0.46	0.12	0.11	1.58	0.13
-10.143	-64.09	0.47	0.06	44.97	0.04	0.57	0.09	0.06	1.88	0.08
-10.143	-62.12	0.42	0.07	45.0	0.06	0.59	0.12	0.07	1.33	0.07
-2.268	-58.18	0.4	0.13	44.93	0.05	0.38	0.1	0.06	1.05	0.06
-6.206	-64.09	0.4	0.06	44.96	0.02	0.38	0.07	0.05	1.34	0.05
-8.174	-66.06	0.38	0.06	45.03	0.04	0.57	0.1	0.06	2.3	0.08
-8.174	-64.09	0.37	0.05	44.94	0.04	0.49	0.08	0.06	1.45	0.07
-6.206	-66.06	0.28	0.06	45.02	0.04	0.38	0.11	0.06	1.32	0.07
-12.111	-66.06	0.97	0.07	45.19	0.05	0.7	0.09	0.08	2.16	0.11
-2.268	-62.12	1.01	0.13	45.03	0.04	0.55	0.06	0.06	0.86	0.05
-2.268	-64.09	0.95	0.18	45.04	0.06	0.61	0.09	0.07	0.68	0.06
-12.111	-64.09	0.71	0.1	45.14	0.08	0.72	0.12	0.07	1.88	0.09
7.575	-70.0	1.34	0.11	44.99	0.07	0.69	0.11	0.1	1.07	0.09
5.606	-68.03	1.15	0.17	44.99	0.09	0.73	0.12	0.09	1.03	0.08
-19.986	-40.45	0.3	0.04	44.06	0.08	1.06	0.18	0.09	2.59	0.14
-18.017	-36.51	0.3	0.04	44.49	0.07	1.03	0.15	0.08	0.5	0.05
-16.048	-58.18	0.3	0.06	44.95	0.13	0.68	0.33	0.09	0.99	0.09
-16.048	-36.51	0.3	0.05	44.59	0.05	0.6	0.11	0.07	0.79	0.06
-6.206	-58.18	0.28	0.09	44.84	0.05	0.29	0.12	0.09	0.76	0.08
1.669	-26.66	0.39	0.05	44.62	0.06	0.66	0.14	0.07	2.72	0.11
-0.3	-26.66	0.3	0.04	44.58	0.07	0.71	0.17	0.06	1.51	0.07
-0.3	-24.69	0.28	0.04	44.56	0.07	0.66	0.15	0.05	2.62	0.08
1.669	-28.63	0.26	0.04	44.55	0.05	0.61	0.13	0.06	2.45	0.09
-0.3	-30.6	0.26	0.04	44.55	0.06	0.65	0.14	0.06	1.13	0.06
-2.268	-32.57	0.38	0.03	44.5	0.04	0.98	0.11	0.05	1.52	0.06
-2.268	-30.6	0.27	0.04	44.51	0.1	0.95	0.23	0.07	1.27	0.07
-0.3	-32.57	0.31	0.04	44.55	0.06	0.69	0.13	0.06	0.99	0.06
-0.3	-28.63	0.25	0.04	44.54	0.08	0.71	0.19	0.06	1.24	0.07
3.637	-26.66	0.24	0.06	44.52	0.07	0.49	0.17	0.08	2.15	0.11
3.637	-28.63	0.23	0.04	44.5	0.04	0.43	0.1	0.05	3.35	0.09
1.669	-32.57	0.23	0.05	44.55	0.04	0.41	0.1	0.06	1.88	0.07
1.669	-30.6	0.22	0.04	44.55	0.04	0.45	0.09	0.05	2.68	0.07
5.606	-28.63	0.2	0.04	44.53	0.04	0.43	0.1	0.05	1.77	0.06
5.606	-30.6	0.14	0.03	44.47	0.05	0.43	0.12	0.04	2.21	0.06
3.637	-30.6	0.15	0.03	44.43	0.05	0.46	0.12	0.04	4.07	0.08
-2.268	-34.54	0.45	0.03	44.57	0.04	1.21	0.11	0.06	1.18	0.06
-2.268	-36.51	0.4	0.03	44.6	0.06	1.38	0.16	0.07	0.78	0.06
-4.237	-34.54	0.5	0.03	44.42	0.03	0.97	0.07	0.06	1.61	0.07
-4.237	-32.57	0.45	0.03	44.37	0.03	0.83	0.07	0.05	2.72	0.07
-6.206	-34.54	0.39	0.03	44.34	0.04	0.81	0.1	0.06	1.18	0.06
-6.206	-32.57	0.39	0.04	44.24	0.03	0.62	0.08	0.05	1.71	0.06
-0.3	-34.54	0.36	0.04	44.73	0.17	1.19	0.29	0.05	1.15	0.06
-19.986	-36.51	0.39	0.04	44.43	0.05	1.08	0.12	0.07	0.87	0.06
