x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-14.08	-70.0	0.74	0.17	46.24	0.05	0.41	0.11	0.17	0.68	0.12
-14.08	-64.09	0.68	0.21	46.01	0.07	0.57	0.11	0.08	1.62	0.1
-10.143	-60.15	0.54	0.08	46.01	0.06	0.59	0.1	0.06	1.55	0.07
-19.986	-68.03	0.52	0.14	46.23	0.08	0.68	0.2	0.14	1.59	0.17
-18.017	-68.03	0.52	0.16	46.2	0.07	0.56	0.19	0.15	1.65	0.17
-8.174	-60.15	0.53	0.09	45.99	0.04	0.52	0.08	0.06	1.59	0.07
-12.111	-60.15	0.5	0.16	45.99	0.18	0.75	0.23	0.07	1.18	0.07
1.669	-66.06	0.49	0.07	45.78	0.02	0.34	0.06	0.06	1.27	0.06
-0.3	-60.15	0.48	0.06	45.88	0.02	0.29	0.04	0.05	0.96	0.05
-8.174	-54.24	0.44	0.05	46.16	0.03	0.48	0.07	0.06	1.13	0.06
-8.174	-56.21	0.43	0.09	46.11	0.05	0.55	0.12	0.07	0.87	0.06
-0.3	-66.06	0.35	0.09	45.76	0.03	0.31	0.09	0.07	0.87	0.06
-8.174	-44.39	0.31	0.05	45.87	0.05	0.52	0.14	0.07	1.33	0.08
-6.206	-44.39	0.25	0.05	45.86	0.06	0.5	0.15	0.07	1.8	0.09
