x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-12.111	-60.15	0.5	0.16	45.99	0.18	0.75	0.23	0.07	1.18	0.07
-10.143	-58.18	0.49	0.04	45.71	0.05	1.22	0.11	0.08	1.23	0.09
-6.206	-48.33	0.48	0.05	45.36	0.06	1.25	0.16	0.1	0.8	0.08
-6.206	-50.3	0.46	0.04	45.33	0.06	1.5	0.14	0.09	0.68	0.07
-6.206	-52.27	0.44	0.03	45.33	0.05	1.56	0.11	0.06	1.07	0.06
-6.206	-46.36	0.43	0.05	45.3	0.06	1.18	0.17	0.09	1.1	0.09
-8.174	-50.3	0.41	0.04	45.36	0.08	1.61	0.19	0.09	0.95	0.08
-8.174	-52.27	0.39	0.03	45.36	0.06	1.75	0.14	0.07	1.39	0.08
-6.206	-54.24	0.41	0.03	45.44	0.05	1.64	0.12	0.06	1.34	0.07
-8.174	-48.33	0.39	0.05	45.36	0.1	1.59	0.25	0.1	0.84	0.09
-8.174	-46.36	0.38	0.05	45.33	0.09	1.49	0.25	0.1	1.04	0.1
-0.3	-36.51	0.49	0.03	45.17	0.05	1.72	0.09	0.05	1.13	0.05
-8.174	-54.24	0.44	0.05	46.16	0.03	0.48	0.07	0.06	1.13	0.06
-6.206	-42.42	0.34	0.04	45.2	0.04	0.66	0.09	0.06	1.75	0.08
-4.237	-32.57	0.31	0.03	45.63	0.04	0.78	0.09	0.05	2.72	0.07
-0.3	-40.45	0.28	0.03	45.24	0.08	1.19	0.14	0.05	2.07	0.07
