x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
9.543	48.2	0.55	0.09	45.21	0.06	0.51	0.1	0.07	1.13	0.07
11.512	50.17	0.53	0.07	45.14	0.08	0.61	0.16	0.1	0.6	0.08
9.543	50.17	0.49	0.06	45.16	0.05	0.61	0.13	0.09	0.98	0.09
11.512	52.14	0.5	0.08	45.06	0.05	0.49	0.11	0.11	0.68	0.09
9.543	52.14	0.49	0.06	45.06	0.03	0.5	0.08	0.08	0.89	0.07
7.575	48.2	0.47	0.04	45.24	0.05	0.66	0.12	0.06	1.52	0.07
9.543	54.11	0.46	0.06	45.03	0.02	0.38	0.06	0.07	1.0	0.06
13.48	52.14	0.45	0.09	45.06	0.07	0.51	0.16	0.11	0.92	0.1
15.449	52.14	0.44	0.08	45.04	0.07	0.55	0.17	0.1	1.24	0.11
5.606	50.17	0.44	0.06	45.23	0.07	0.61	0.15	0.09	1.19	0.09
3.637	52.14	0.44	0.07	45.19	0.04	0.46	0.11	0.09	1.05	0.09
7.575	50.17	0.43	0.05	45.23	0.07	0.74	0.17	0.08	1.35	0.09
11.512	54.11	0.42	0.08	45.05	0.03	0.35	0.08	0.08	1.07	0.08
3.637	50.17	0.41	0.07	45.17	0.04	0.4	0.1	0.09	0.85	0.08
15.449	54.11	0.38	0.11	45.1	0.06	0.36	0.14	0.12	1.47	0.14
7.575	54.11	0.38	0.04	45.08	0.04	0.67	0.1	0.06	1.64	0.07
13.48	54.11	0.37	0.09	45.09	0.05	0.36	0.11	0.1	1.4	0.11
5.606	48.2	0.37	0.04	45.21	0.08	0.73	0.17	0.07	1.33	0.07
13.48	56.08	0.36	0.07	45.12	0.03	0.33	0.08	0.08	2.23	0.11
13.48	58.05	0.35	0.09	45.16	0.04	0.35	0.1	0.09	1.95	0.13
1.669	52.14	0.34	0.07	45.14	0.04	0.41	0.11	0.08	0.96	0.07
9.543	56.08	0.31	0.06	45.04	0.03	0.36	0.08	0.06	1.63	0.08
1.669	50.17	0.31	0.08	45.11	0.05	0.33	0.11	0.09	0.69	0.07
7.575	56.08	0.3	0.03	45.01	0.04	0.6	0.1	0.05	3.45	0.08
15.449	50.17	0.43	0.09	44.94	0.11	0.58	0.22	0.12	0.74	0.1
5.606	58.05	0.23	0.04	44.92	0.12	1.03	0.3	0.06	2.0	0.09
-4.237	67.9	0.29	0.06	45.76	0.07	0.45	0.17	0.07	1.28	0.08
1.669	63.96	0.28	0.06	45.28	0.17	0.77	0.36	0.09	0.82	0.08
-0.3	61.99	0.35	0.04	45.63	0.08	1.14	0.11	0.05	1.5	0.06
-0.3	65.93	0.27	0.06	45.34	0.08	0.51	0.19	0.08	1.51	0.09
3.637	67.9	0.27	0.07	45.34	0.11	0.51	0.24	0.09	0.8	0.07
