x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-0.3	-28.63	0.65	0.04	45.46	0.03	0.63	0.07	0.06	1.24	0.07
-4.237	-58.18	0.6	0.05	45.49	0.04	0.94	0.09	0.09	1.01	0.09
3.637	-14.84	0.8	0.03	45.73	0.02	1.38	0.05	0.06	1.51	0.07
11.512	-12.87	0.95	0.04	45.59	0.02	0.82	0.04	0.07	1.65	0.08
5.606	-3.02	1.45	0.05	45.54	0.03	1.01	0.07	0.08	0.78	0.07
3.637	-4.99	1.14	0.04	45.67	0.02	1.11	0.06	0.08	1.15	0.08
3.637	-8.93	1.45	0.03	45.7	0.01	0.85	0.02	0.05	2.03	0.06
5.606	-6.96	1.43	0.04	45.72	0.01	1.01	0.04	0.08	1.24	0.09
3.637	-6.96	1.36	0.03	45.71	0.01	0.96	0.03	0.06	1.98	0.08
5.606	-4.99	1.34	0.05	45.68	0.02	1.19	0.05	0.1	0.77	0.09
3.637	-10.9	1.25	0.03	45.71	0.01	0.88	0.03	0.05	1.63	0.07
5.606	-10.9	1.27	0.02	45.8	0.01	1.0	0.02	0.04	2.15	0.06
3.637	-3.02	1.13	0.04	45.52	0.02	0.98	0.05	0.08	0.75	0.06
7.575	-10.9	1.01	0.04	45.71	0.03	1.08	0.04	0.05	2.04	0.06
9.543	-10.9	1.0	0.02	45.65	0.01	1.06	0.03	0.05	3.41	0.09
3.637	4.86	1.99	0.03	45.31	0.01	0.83	0.02	0.06	2.35	0.08
3.637	6.83	1.92	0.03	45.23	0.01	0.97	0.02	0.06	2.92	0.1
5.606	2.89	1.65	0.1	45.28	0.01	0.58	0.04	0.07	1.16	0.07
3.637	0.92	1.89	0.04	45.38	0.01	0.66	0.02	0.06	1.37	0.07
5.606	0.92	1.88	0.09	45.3	0.01	0.55	0.03	0.07	0.92	0.06
5.606	-1.05	1.75	0.05	45.35	0.01	0.64	0.03	0.06	1.21	0.06
7.575	-1.05	1.55	0.07	45.33	0.02	0.62	0.04	0.07	1.06	0.06
13.48	0.92	1.78	0.04	45.32	0.01	0.85	0.02	0.07	1.83	0.09
11.512	0.92	1.72	0.03	45.42	0.01	1.06	0.02	0.06	3.2	0.11
11.512	-1.05	1.61	0.25	45.25	0.03	0.59	0.04	0.06	1.18	0.06
9.543	0.92	1.66	0.06	45.34	0.02	0.71	0.04	0.06	2.03	0.08
11.512	2.89	1.61	0.03	45.42	0.01	1.05	0.03	0.06	2.63	0.09
13.48	-3.02	1.5	0.04	45.36	0.01	0.75	0.02	0.06	1.73	0.08
3.637	-1.05	1.48	0.21	45.32	0.07	0.54	0.08	0.07	0.8	0.06
9.543	2.89	1.46	0.12	45.4	0.06	0.95	0.07	0.05	3.68	0.1
11.512	4.86	1.41	0.05	45.47	0.02	1.06	0.05	0.09	1.53	0.11
15.449	-1.05	1.38	0.04	45.34	0.01	0.68	0.02	0.06	1.97	0.08
15.449	0.92	1.37	0.04	45.29	0.01	0.77	0.03	0.07	1.72	0.09
13.48	2.89	1.49	0.18	45.18	0.07	0.67	0.09	0.07	1.79	0.09
9.543	-3.02	1.37	0.05	45.34	0.03	0.69	0.05	0.06	1.23	0.07
1.669	2.89	1.37	0.03	45.34	0.01	0.75	0.02	0.05	1.66	0.07
13.48	-4.99	1.27	0.03	45.41	0.01	0.81	0.02	0.05	2.55	0.08
15.449	-3.02	1.26	0.04	45.39	0.01	0.68	0.03	0.06	1.72	0.08
1.669	0.92	1.16	0.04	45.4	0.01	0.67	0.03	0.07	1.05	0.06
15.449	-4.99	1.14	0.05	45.44	0.01	0.73	0.03	0.07	1.45	0.08
15.449	-6.96	1.12	0.04	45.46	0.01	0.74	0.03	0.06	1.61	0.07
13.48	-8.93	1.1	0.04	45.49	0.01	0.83	0.03	0.07	1.12	0.07
11.512	-8.93	1.1	0.03	45.51	0.01	0.91	0.03	0.05	1.25	0.06
7.575	-3.02	1.1	0.31	45.33	0.09	0.7	0.1	0.08	0.74	0.07
11.512	-10.9	1.09	0.04	45.56	0.01	0.82	0.03	0.06	1.64	0.08
9.543	-8.93	1.09	0.03	45.6	0.01	1.07	0.03	0.05	2.2	0.08
7.575	-6.96	1.11	0.07	45.58	0.04	1.09	0.06	0.08	1.15	0.08
7.575	-8.93	1.09	0.05	45.61	0.05	1.0	0.07	0.05	1.22	0.05
9.543	-6.96	1.08	0.04	45.43	0.04	0.86	0.08	0.06	1.64	0.07
15.449	-8.93	1.06	0.05	45.49	0.02	0.75	0.04	0.08	1.02	0.07
13.48	-10.9	1.06	0.06	45.55	0.02	0.76	0.05	0.09	0.95	0.09
15.449	2.89	1.05	0.08	45.41	0.07	0.78	0.09	0.07	1.65	0.08
7.575	2.89	1.01	0.1	45.24	0.01	0.55	0.05	0.06	2.15	0.09
15.449	4.86	0.95	0.06	45.53	0.06	0.69	0.11	0.08	1.34	0.09
15.449	6.83	0.96	0.07	45.61	0.05	0.58	0.1	0.1	1.08	0.09
3.637	-12.87	0.93	0.03	45.74	0.02	1.1	0.04	0.06	1.63	0.08
15.449	-10.9	0.91	0.07	45.52	0.03	0.76	0.06	0.11	0.91	0.1
17.417	8.8	0.9	0.1	45.62	0.06	0.53	0.13	0.13	0.91	0.11
17.417	10.77	1.13	0.12	45.63	0.04	0.4	0.08	0.14	0.92	0.12
13.48	-12.87	0.88	0.06	45.57	0.03	0.76	0.06	0.1	1.24	0.11
17.417	-1.05	0.87	0.03	45.34	0.01	0.62	0.03	0.05	3.58	0.09
17.417	0.92	0.86	0.04	45.28	0.02	0.7	0.04	0.07	2.15	0.1
9.543	-12.87	0.85	0.03	45.69	0.02	1.17	0.05	0.06	2.16	0.08
17.417	-6.96	0.84	0.06	45.44	0.02	0.65	0.05	0.09	1.07	0.09
1.669	-1.05	0.83	0.05	45.42	0.02	0.66	0.05	0.08	0.73	0.07
17.417	-8.93	0.81	0.05	45.44	0.02	0.69	0.05	0.09	1.12	0.08
9.543	-36.51	1.08	0.03	45.65	0.01	0.85	0.03	0.05	1.64	0.07
5.606	-32.57	2.0	0.04	45.75	0.01	0.9	0.02	0.06	1.29	0.07
7.575	-30.6	1.9	0.03	45.83	0.01	0.86	0.02	0.05	1.86	0.07
7.575	-28.63	1.97	0.03	45.83	0.01	0.97	0.01	0.05	2.81	0.08
5.606	-26.66	1.88	0.04	45.76	0.01	1.2	0.03	0.08	1.41	0.09
7.575	-26.66	1.85	0.04	45.83	0.01	1.22	0.03	0.07	2.05	0.1
5.606	-34.54	1.78	0.04	45.69	0.01	0.97	0.02	0.07	1.35	0.08
3.637	-32.57	1.74	0.03	45.67	0.01	0.97	0.02	0.06	2.21	0.08
7.575	-24.69	1.73	0.04	45.85	0.02	1.41	0.04	0.09	2.23	0.13
5.606	-24.69	1.68	0.04	45.73	0.02	1.54	0.04	0.09	1.59	0.11
3.637	-34.54	1.67	0.03	45.62	0.01	1.06	0.02	0.05	2.13	0.08
7.575	-32.57	1.66	0.04	45.77	0.01	0.88	0.03	0.08	1.01	0.08
7.575	-22.72	1.59	0.04	45.88	0.02	1.43	0.04	0.09	2.7	0.14
7.575	-34.54	1.51	0.04	45.7	0.01	0.91	0.03	0.08	1.14	0.08
5.606	-22.72	1.48	0.03	45.71	0.02	1.72	0.04	0.07	2.34	0.1
9.543	-22.72	1.47	0.05	45.94	0.02	1.23	0.05	0.1	2.1	0.14
7.575	-20.75	1.41	0.04	45.89	0.02	1.41	0.04	0.08	3.18	0.14
9.543	-20.75	1.39	0.05	45.94	0.02	1.18	0.05	0.1	1.91	0.14
5.606	-20.75	1.33	0.02	45.73	0.01	1.69	0.03	0.05	3.28	0.09
5.606	-18.78	1.2	0.02	45.76	0.01	1.59	0.04	0.05	3.23	0.09
3.637	-20.75	1.1	0.02	45.58	0.02	1.83	0.04	0.05	2.41	0.08
3.637	-24.69	1.42	0.03	45.57	0.02	1.61	0.04	0.08	1.95	0.1
3.637	-22.72	1.28	0.02	45.56	0.01	1.8	0.03	0.05	2.63	0.08
11.512	-20.75	1.09	0.05	45.88	0.03	1.21	0.06	0.1	1.85	0.13
1.669	-52.27	2.16	0.03	45.54	0.0	0.74	0.01	0.05	2.83	0.08
1.669	-50.3	1.94	0.02	45.53	0.0	0.75	0.01	0.04	4.04	0.07
1.669	-54.24	1.92	0.04	45.54	0.01	0.81	0.02	0.07	1.89	0.09
-0.3	-52.27	1.9	0.03	45.56	0.01	0.7	0.01	0.05	2.18	0.07
-0.3	-54.24	1.7	0.04	45.54	0.01	0.76	0.02	0.06	1.65	0.08
-0.3	-50.3	1.65	0.03	45.56	0.0	0.69	0.01	0.04	2.29	0.06
1.669	-56.21	1.53	0.03	45.51	0.01	0.92	0.02	0.06	1.83	0.08
3.637	-54.24	1.52	0.04	45.48	0.01	1.05	0.03	0.08	1.39	0.09
3.637	-52.27	1.69	0.04	45.47	0.01	0.93	0.03	0.07	1.53	0.09
3.637	-50.3	1.65	0.03	45.48	0.01	0.87	0.02	0.05	2.71	0.09
3.637	-58.18	1.43	0.03	45.52	0.01	0.99	0.02	0.05	2.66	0.08
3.637	-62.12	1.64	0.03	45.5	0.01	1.18	0.02	0.05	4.38	0.1
3.637	-60.15	1.57	0.03	45.51	0.01	1.06	0.02	0.06	2.85	0.1
5.606	-62.12	1.48	0.03	45.49	0.01	1.16	0.02	0.05	3.36	0.09
5.606	-64.09	1.46	0.03	45.47	0.01	1.17	0.03	0.05	2.55	0.08
3.637	-48.33	1.43	0.03	45.48	0.01	0.87	0.02	0.06	2.38	0.09
1.669	-48.33	1.43	0.03	45.49	0.01	0.77	0.02	0.05	2.03	0.07
3.637	-56.21	1.4	0.03	45.51	0.01	1.04	0.03	0.06	2.14	0.09
5.606	-60.15	1.38	0.03	45.47	0.01	1.08	0.02	0.05	3.29	0.09
1.669	-58.18	1.37	0.03	45.46	0.01	0.96	0.02	0.05	2.03	0.07
3.637	-46.36	1.31	0.04	45.46	0.01	0.83	0.03	0.07	1.63	0.09
-0.3	-56.21	1.31	0.03	45.46	0.01	0.89	0.03	0.06	1.33	0.06
5.606	-46.36	1.25	0.04	45.52	0.01	0.8	0.03	0.07	1.76	0.09
3.637	-36.51	1.48	0.02	45.55	0.01	1.04	0.02	0.04	2.39	0.06
5.606	-38.48	1.46	0.03	45.62	0.01	0.82	0.02	0.05	1.54	0.06
5.606	-40.45	1.43	0.04	45.61	0.01	0.71	0.03	0.07	0.79	0.06
5.606	-42.42	1.37	0.05	45.57	0.01	0.72	0.03	0.08	0.56	0.06
5.606	-44.39	1.34	0.05	45.53	0.01	0.76	0.03	0.07	1.17	0.08
3.637	-38.48	1.31	0.02	45.54	0.01	0.87	0.02	0.04	2.27	0.06
3.637	-44.39	1.25	0.04	45.46	0.01	0.76	0.03	0.07	1.14	0.08
5.606	-58.18	1.23	0.03	45.46	0.01	1.08	0.03	0.05	3.12	0.09
5.606	-50.3	1.23	0.05	45.43	0.02	0.9	0.04	0.09	1.06	0.09
7.575	-40.45	1.22	0.04	45.67	0.01	0.78	0.03	0.07	1.08	0.07
7.575	-38.48	1.38	0.03	45.69	0.01	0.82	0.02	0.05	1.54	0.06
3.637	-40.45	1.22	0.03	45.55	0.01	0.73	0.02	0.05	1.61	0.06
