    19.386    -70.000      0.540      0.060     45.110      0.060      1.070      0.150      0.130      2.390      0.190
    19.386    -68.030      0.560      0.070     45.040      0.070      1.120      0.170      0.150      1.940      0.200
    19.386    -66.060      0.600      0.080     45.000      0.070      1.120      0.170      0.160      1.170      0.170
    19.386    -64.090      0.900      0.090     45.150      0.050      0.940      0.110      0.170      0.820      0.150
    19.386    -62.120      1.400      0.080     45.250      0.020      0.660      0.050      0.130      1.210      0.140
    19.386    -60.150      1.500      0.080     45.230      0.010      0.570      0.040      0.120      1.310      0.130
    19.386    -58.180      1.310      0.070     45.170      0.020      0.620      0.040      0.110      1.240      0.110
    19.386    -56.210      1.120      0.040     45.140      0.020      0.920      0.040      0.080      2.680      0.110
    19.386    -54.240      0.920      0.040     45.200      0.030      1.300      0.060      0.080      3.080      0.130
    19.386    -52.270      0.770      0.050     45.150      0.050      1.330      0.110      0.120      1.710      0.130
    19.386    -50.300      0.820      0.090     45.010      0.040      0.780      0.090      0.140      1.390      0.140
    19.386    -48.330      0.850      0.140     44.990      0.040      0.460      0.090      0.180      0.990      0.160
    19.386    -46.360      0.630      0.170     44.980      0.050      0.410      0.120      0.200      0.790      0.170
    19.386    -40.450      0.290      0.040     44.660      0.090      1.490      0.220      0.090      1.750      0.110
    19.386    -38.480      0.390      0.070     45.120      0.050      0.640      0.130      0.100      1.500      0.120
    19.386    -36.510      0.440      0.110     45.160      0.050      0.430      0.130      0.140      1.250      0.150
    19.386    -32.570      0.370      0.100     45.190      0.040      0.300      0.090      0.100      1.440      0.120
    19.386    -30.600      0.340      0.060     45.210      0.030      0.380      0.070      0.070      2.490      0.100
    19.386    -22.720      0.370      0.050     45.450      0.080      1.150      0.200      0.110      0.840      0.090
    19.386    -20.750      0.580      0.080     45.150      0.040      0.470      0.100      0.110      0.830      0.090
    19.386    -20.750      0.350      0.080     45.890      0.080      0.590      0.200      0.110      0.830      0.090
    19.386    -18.780      0.450      0.070     45.360      0.090      1.080      0.200      0.140      1.030      0.140
    19.386    -14.840      0.450      0.080     45.140      0.090      1.070      0.200      0.150      0.780      0.130
    19.386    -12.870      0.450      0.050     45.010      0.070      1.250      0.170      0.110      1.120      0.110
    19.386    -10.900      0.430      0.050     45.070      0.070      1.250      0.170      0.100      1.050      0.100
