   -8.174000    30.470000     0.330000     0.020000    45.280000     0.070000     1.950000     0.170000     0.040000     3.270000     0.070000  
   -8.174000    36.380000     0.370000     0.040000    45.300000     0.080000     1.300000     0.210000     0.080000     1.080000     0.080000  
   -8.174000    38.350000     0.390000     0.030000    45.370000     0.100000     1.520000     0.250000     0.070000     0.950000     0.070000  
   -8.174000    40.320000     0.390000     0.030000    45.380000     0.140000     1.520000     0.280000     0.060000     1.050000     0.060000  
   -8.174000    42.290000     0.320000     0.060000    45.420000     0.340000     1.530000     0.510000     0.060000     1.400000     0.070000  
  -10.143000    30.470000     0.260000     0.010000    45.450000     0.100000     2.130000     0.230000     0.040000     4.510000     0.080000  
  -10.143000    32.440000     0.280000     0.020000    45.410000     0.110000     2.230000     0.240000     0.040000     3.400000     0.080000  
  -10.143000    34.410000     0.320000     0.030000    45.490000     0.170000     2.010000     0.370000     0.070000     1.820000     0.090000  
  -10.143000    36.380000     0.320000     0.030000    45.500000     0.170000     1.800000     0.400000     0.080000     1.260000     0.090000  
  -10.143000    38.350000     0.300000     0.030000    45.340000     0.140000     1.630000     0.340000     0.080000     0.970000     0.070000  
